소스책,소스KDC,소스대분류,연관책,연관ISBN,연관KDC,연관대분류,연관class_nm,함께대출순위,교차,보편도df,IDF가중
(흔한남매) 별난 방탈출 :탈출 미션 스토리북,6,예술,흔한남매,9791164136261,8,문학,문학 > 한국문학 > 한국문학,10,True,5,1.791759469228055
"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",6,예술,나는 읽고 쓰고 버린다 :손웅정의 말,9791191859836,6,예술,"예술 > 오락, 운동 > 구기",1,False,1,3.4011973816621555
"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",6,예술,불편한 편의점 :김호연 장편소설,9791161571188,8,문학,문학 > 한국문학 > 소설,2,True,11,1.0033021088637848
"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",6,예술,(이미 늦었다고 생각하는 당신을 위한) 김미경의 마흔 수업,9791198013026,3,사회과학,사회과학 > 경제학 > 경영관리,3,True,1,3.4011973816621555
"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",6,예술,아버지의 해방일지 :정지아 장편소설,9788936438838,8,문학,문학 > 한국문학 > 소설,4,True,8,1.3217558399823195
"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",6,예술,불편한 편의점 :김호연 장편소설,9791161571379,8,문학,문학 > 한국문학 > 소설,5,True,11,1.0033021088637848
"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",6,예술,역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,9788901260716,3,사회과학,사회과학 > 경제학 > 경영관리,6,True,6,1.6094379124341003
"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",6,예술,"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",9791167740984,1,철학,철학 > 심리학 > 각론,7,True,5,1.791759469228055
"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",6,예술,세이노의 가르침 :피보다 진하게 살아라,9791168473690,3,사회과학,사회과학 > 경제학 > 경영관리,8,True,7,1.455287232606842
"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",6,예술,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,9791188331796,3,사회과학,사회과학 > 경제학 > 금융,9,True,5,1.791759469228055
