책A,책B,대분류A,대분류B,교차,엣지종류수,상호,순위강도합,IDF_A,IDF_B,보편도penalty,최종굵기,같은시리즈,ISBN_A,ISBN_B
니체와 함께 산책을 :세상의 속도에 휩쓸리지 않고 나를 여행하는 법,마흔에 읽는 니체 =지금 이순간을 살기 위한 철학 수업 /Nietzsche,철학,철학,False,1,False,0.6,1.0,0.751,0.751,0.451,False,9791130641188,9791192300245
남에게 보여주려고 인생을 낭비하지 마라 :쇼펜하우어 소품집,어차피 남들은 나에게 관심 없다 :쇼펜하우어의 인간관계 철학,철학,철학,False,1,False,0.6,0.843,0.751,0.751,0.451,False,9791169850445,9791198621405
도파민네이션 :쾌락 과잉 시대에서 균형 찾기,"경험의 멸종 :기술이 경험을 대체하는 시대, 인간은 계속 인간일 수 있을까",철학,사회과학,True,1,False,0.6,1.0,0.751,0.751,0.451,False,9788965965046,9791167742063
원씽 :복잡한 세상을 이기는 단순함의 힘,퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,사회과학,사회과학,False,2,False,1.3,0.457,0.346,0.346,0.45,False,9788997575169,9791192389325
아홉 살 마음 사전,흔한남매,철학,문학,True,1,False,0.8,1.0,0.56,0.56,0.448,False,9788936447014,9791168417199
"꽃길이 따로 있나, 내 삶이 꽃인 것을",나를 소모하지 않는 현명한 태도에 관하여,문학,철학,True,1,False,0.7,1.0,0.636,0.636,0.445,False,9791193506394,9791198682505
(이미 늦었다고 생각하는 당신을 위한) 김미경의 마흔 수업,(열심히 살아봤지만 허무함에 지친 당신을 위한) 김미경의 딥마인드,사회과학,사회과학,False,1,False,0.7,0.636,1.0,0.636,0.445,False,9791198013026,9791198013088
도파민네이션 :쾌락 과잉 시대에서 균형 찾기,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,철학,철학,False,1,False,0.7,1.0,0.636,0.636,0.445,False,9788965965046,9791162540640
"딥 워크 :강력한 몰입, 최고의 성과",아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,사회과학,철학,True,1,False,0.7,1.0,0.636,0.636,0.445,False,9788937434082,9791162540640
당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까 :쇼펜하우어 아포리즘,(2500년 동안 사랑받은) 초역 부처의 말 :행복으로 가는 길은 없다 행복이 곧 길이다,철학,종교,True,1,False,0.7,0.751,0.636,0.636,0.445,False,9791192625553,9791193506516
(2500년 동안 사랑받은) 초역 부처의 말 :행복으로 가는 길은 없다 행복이 곧 길이다,나를 소모하지 않는 현명한 태도에 관하여,종교,철학,True,2,False,0.7,0.636,0.636,0.636,0.445,False,9791193506516,9791198682505
소년이 온다 :한강 장편소설,흰 :한강 소설,문학,문학,False,2,False,1.0,0.438,0.843,0.438,0.438,False,9788936434120,9788954651134
