ISBN,책,KDC,대분류,씨앗,out_degree,in_degree
9788934911388,"가난한 찰리의 연감 :버크셔 해서웨이의 전설, 찰리 멍거의 모든 것",3,사회과학,False,0,1
9791168416628,(흔한남매) 별난 세계 여행,9,역사,False,0,1
9791193282069,니체 인생수업 :니체가 세상에 남긴 66가지 인생지혜,1,철학,False,0,1
9788934908296,놓지 마 맞춤법,7,언어,False,0,1
9791189686932,책 읽고 매출의 신이 되다 :고명환의 장사 내공,3,사회과학,False,0,1
9791198496645,꿰뚫는 한국사 :시대를 뒤흔든 문제적 인물들,,미상,False,0,1
9791197376696,"최고의 노후 :질병 없이 건강하게, 행복한 노년을 만드는 비밀",5,기술과학,False,0,1
9791139710946,"이대호, 도전은 끝나지 않았다",,미상,False,0,1
9791164139750,에그박사 :Egg&bugs,4,자연과학,False,0,1
9788936438432,자본주의의 적 :정지아 소설집,,미상,False,0,1
9791158463489,"(초등 3, 4학년에 시작하는) 하루 20분 초등 고전 읽기 :공부머리, 사고머리를 키우는 진짜 독서 습관",0,총류,False,0,1
9791198774828,그렇게 부모가 된다 :17년 교직을 포기하고 좋은 아빠가 되고 싶었던 EBS강사의 이야기,,미상,False,0,1
9791168412279,에그박사 :Egg&bugs,4,자연과학,False,0,1
9791198530356,무엇이 나를 행복하게 만드는가,1,철학,False,0,1
9791185186054,배짱으로 삽시다,1,철학,False,0,1
9788934989738,(허브 코헨의) 협상의 기술,3,사회과학,False,0,1
9791196893156,(설민석의) 세계사 대모험,,미상,False,0,1
9791169811361,열세 살의 걷기 클럽 :김혜정 창작동화,8,문학,False,0,1
9788934972242,요리스타 청,5,기술과학,False,0,1
9788957369265,오늘을 산다는 것 :김혜남의 그림편지,8,문학,False,0,1
9791130647173,(최재천의) 동물대탐험 :지구를 사랑하는 어린이를 위한 생물학 동화,4,자연과학,False,0,1
9791158681395,(읽으면서 바로 해 보는) 어린이 게임,6,예술,True,22,1
9791197413025,다정한 것이 살아남는다,1,철학,False,0,1
9791130645469,디케의 눈물 :대한검국에 맞선 조국의 호소,3,사회과학,False,0,1
9791193031209,(설민석의) 그리스 로마 신화 대모험,2,종교,False,0,1
9791130654621,푸른 들판을 걷다 :클레어 키건 소설,8,문학,False,0,1
9788947540926,김미경의 인생미답 :살다 보면 누구나 마주하는 작고 소소한 질문들,1,철학,False,0,1
9791168126206,노화의 재설계 :예일대 의대에서 밝혀낸 신체나이를 되돌리는 방법,5,기술과학,False,0,1
9791168417984,에그박사 :Egg&bugs,4,자연과학,False,0,1
9788925578347,"최선의 고통 :고통과 쾌락, 그 최적의 지점에서",1,철학,False,0,1
